Date,Open,High,Low,Close,Volume,Value,DMI_plusDI,DMI_minusDI,DMI_ADX,ULT_RSI,ULT_RSI_signal,AMACD,AMACD_signal,AMACD_hist,BBWP,BBWP_MA,BBWP_BBW,net_run,td_setup,pct_up_20d,consec_hh,consec_hl,consec_lh,consec_ll,ma20_streak,bull_bar_streak,pct_ursi_oversold,pct_bb20_below,pct_below_ema200,pct_ursi_overbought,pct_ursi_above_50,pct_ursi_below_50,up_down_vol_ratio_20d,volume_ratio_20_60,net_fgn_pct_5d,net_fgn_pct_20d,fgn_share_20d
2014-12-16,545.33,545.66,535.0,535.14,128015088.0,2498607157000.0,0.0,0.0,,,,,,,,,,0,0,,0,0,0,0,0,-1,,,,,,,,,,,
2016-05-27,604.36,609.94,603.23,608.11,101912116.0,1592573564200.0,0.0,0.0,,,,,,,,,,1,0,,1,1,0,0,0,1,,,,,,,,,,,
2016-05-30,609.98,615.52,608.46,614.5,110972988.0,1843536762800.0,0.0,0.0,,,,,,,,,,2,0,,2,2,0,0,0,2,,,,,,,,,,,
2016-05-31,616.22,621.14,614.68,618.44,121484290.0,2176318458200.0,0.0,0.0,,,,,,,,,,3,0,,3,3,0,0,0,3,,,,,,,,,,,
2016-06-01,618.2,620.2,616.3,619.86,112534539.0,1999192069500.0,0.0,0.0,,,,,,,,,,4,1,,0,4,1,0,0,4,0.006172839506172839,0.024691358024691357,0.29878048780487804,0.043209876543209874,0.6111111111111112,0.3888888888888889,,,,,
2016-06-02,619.19,624.52,618.38,623.37,126173736.0,1885208176000.0,0.0,0.0,,,,,,,,,,5,2,,1,5,0,0,0,5,0.006097560975609756,0.012195121951219513,0.27710843373493976,0.036585365853658534,0.6707317073170732,0.32926829268292684,,,0.0462458691822556,,
2016-06-03,623.21,625.19,621.62,621.88,124148752.0,2116517331300.0,0.0,0.0,,,,,,,,,0.09662776650699774,-1,3,,2,6,0,0,0,-1,0.012422360248447204,0.024844720496894408,0.29012345679012347,0.031055900621118012,0.6894409937888198,0.3105590062111801,,,0.0374147960007947,,
2016-06-06,621.09,624.55,616.98,620.05,133177430.0,2346153810000.0,0.0,0.0,,,,,,,0.0,,0.015558382173832944,-2,4,,0,0,1,1,0,-2,0.0125,0.01875,0.2777777777777778,0.03125,0.68125,0.31875,,,0.001300566566628,,
2016-06-07,622.4,624.69,620.05,624.65,115113977.0,1840988541100.0,0.0,0.0,,,,,,,0.0,,0.01005802057710976,1,5,,1,1,0,0,0,1,0.012422360248447204,0.012422360248447204,0.2716049382716049,0.024844720496894408,0.7267080745341615,0.2732919254658385,,,0.0022020678282979,,
2016-06-08,626.84,632.68,626.29,627.87,134115495.0,2520041662000.0,0.0,0.0,,,,,,,0.0,,0.009701440478501383,2,6,,2,2,0,0,0,2,0.012345679012345678,0.024691358024691357,0.2822085889570552,0.024691358024691357,0.691358024691358,0.30864197530864196,,,0.0169017471531722,,
2016-06-09,628.4,631.26,626.27,631.26,119391680.0,1962012001000.0,0.0,0.0,,,,,,,50.0,,0.012446981192780851,3,7,,0,0,1,1,0,3,0.012195121951219513,0.006097560975609756,0.23030303030303031,0.024390243902439025,0.725609756097561,0.27439024390243905,,,0.0193684136885665,,
2016-06-10,629.95,633.47,628.56,629.84,134279311.0,2313371620000.0,0.0,0.0,,,,,,,40.0,18.0,0.012421965660147714,-1,8,,1,1,0,0,0,-1,0.012578616352201259,0.00625,0.2236024844720497,0.025157232704402517,0.710691823899371,0.2893081761006289,,,0.0342035534416978,,
2016-06-13,626.26,627.36,621.4,623.58,127001087.0,2307456051000.0,0.0,0.0,,,,,,,33.333333333333336,24.666666666666668,0.012369422962016556,-2,-1,,0,0,1,1,0,-2,0.006211180124223602,0.018633540372670808,0.25308641975308643,0.0,0.6335403726708074,0.36645962732919257,,,0.0462546343091798,,
2016-06-14,621.63,626.4,619.13,625.43,99306676.0,1822991150400.0,57.123985657671206,8.863307542303515,5.2240228789323275,,,,,,28.571428571428573,30.38095238095238,0.011406284515163427,1,-2,,0,0,2,2,0,1,0.00625,0.00625,0.2670807453416149,0.025,0.69375,0.30625,,,0.0363811177155458,,
2016-06-15,624.63,628.75,621.76,627.02,130305745.0,1998624085500.0,56.061299070904155,8.462579753935081,10.12010364892902,90.34070951879171,,,,,0.0,30.38095238095238,0.00822837077501901,2,-3,,1,1,0,0,0,2,0.006172839506172839,0.018518518518518517,0.2654320987654321,0.018518518518518517,0.7407407407407407,0.25925925925925924,,,0.0200151163942169,,
2016-06-16,0.0,0.0,0.0,625.11,121989490.0,2115804947000.0,10.444394551347145,82.26369249367175,14.930682857631549,88.73790788094325,,,,,0.0,20.380952380952383,0.008043029296949895,-1,-4,,0,0,1,1,0,3,0.006134969325153374,0.024390243902439025,0.2787878787878788,0.018404907975460124,0.6871165644171779,0.3128834355828221,-0.08966716293016457,,0.0048754001338381,,
2016-06-17,622.92,624.59,618.16,619.25,148607810.0,2925094511500.0,96.79353659180443,81.47235630750075,14.478103100661565,83.82414340055638,,,,,50.0,22.380952380952383,0.011830006479613108,-2,-5,,1,1,0,0,0,-1,0.006211180124223602,0.030864197530864196,0.27607361963190186,0.024844720496894408,0.6273291925465838,0.37267080745341613,-0.11597119436091018,,-0.0509735485416985,,
2016-06-20,0.0,0.0,0.0,626.46,115019693.0,2005283570900.0,50.333705643277206,90.28093375276056,15.473167937196314,84.92986223146865,,,,,27.272727272727273,21.168831168831172,0.00971027554321287,1,1,,0,0,1,1,0,1,0.006289308176100629,0.018867924528301886,0.2625,0.018867924528301886,0.6792452830188679,0.32075471698113206,-0.1176112856825895,,-0.0379917066843531,,
2016-06-21,0.0,0.0,0.0,628.0,127171473.0,2508273603500.0,33.0505779248418,59.281092023504286,16.397156713978582,85.1631485690514,,,,,16.666666666666668,18.78787878787879,0.008594006486595054,2,2,,0,0,0,0,0,2,0.006289308176100629,0.01875,0.25625,0.031446540880503145,0.660377358490566,0.33962264150943394,-0.11034599036244311,,-0.0271370101743233,,
2016-06-22,0.0,0.0,0.0,626.41,107944670.0,2186440248000.0,24.112312022887185,43.24899223180727,17.25514629241926,83.72211740570401,,-0.13766233766234043,,,15.384615384615385,21.864801864801866,0.008498570313049833,-1,3,0.6,0,0,0,0,1,3,0.006134969325153374,0.012269938650306749,0.2621951219512195,0.03680981595092025,0.6441717791411042,0.3558282208588957,-0.08439207595600061,,-0.0223351678888008,,
2016-06-23,0.0,0.0,0.0,632.27,116539064.0,2354738463500.0,18.68435844886578,33.51315596133116,18.051850900971314,85.83568348226152,,0.27017484679821985,,,57.142857142857146,33.29337329337329,0.01146074999362907,1,4,0.65,0,0,0,0,2,4,0.006172839506172839,0.012345679012345678,0.2392638036809816,0.05555555555555555,0.6851851851851852,0.3148148148148148,-0.08521054443294658,,-0.0264964607569812,0.0089242949401689,0.2520805025206242
2016-06-24,0.0,0.0,0.0,620.77,270124248.0,4804915003000.0,15.011189162490385,26.92478443637025,18.791648037483938,76.39981721632421,,-0.41996309618080574,,,86.66666666666667,40.62670662670663,0.012983834778336497,-1,-1,0.6,0,0,0,0,-1,5,0.012345679012345678,0.1165644171779141,0.3048780487804878,0.06790123456790123,0.6604938271604939,0.3395061728395062,-0.20376974891455374,,0.0062209609528514,0.0058092136155702,0.2413444792021638
2016-06-27,0.0,0.0,0.0,621.27,106445771.0,1974111862100.0,12.427898473125866,22.291271115425417,19.47860252138852,76.52066994361886,,-0.9005288941043321,,,87.5,52.67216117216117,0.013834143034550127,1,-2,0.6,0,0,0,0,-2,6,0.006211180124223602,0.13580246913580246,0.30864197530864196,0.06832298136645963,0.7142857142857143,0.2857142857142857,-0.20694481698193554,,0.0023803295048792,0.0030309895989635,0.2443908436338687
2016-06-28,0.0,0.0,0.0,622.2,89093700.0,1947878986400.0,10.483448807586784,18.80361350713728,20.116488827871343,76.75906231993771,,-1.1260985462082949,,,64.70588235294117,62.28000430941607,0.01237554886674144,2,-3,0.6,0,0,0,0,-3,7,0.0,0.08024691358024691,0.3333333333333333,0.07453416149068323,0.7453416149068323,0.2546583850931677,-0.2299602086736682,,-0.0018287761797708,0.0017883890559629,0.247520818521289
2016-06-29,623.56,631.25,623.56,630.12,119262696.0,2521907204500.0,27.535900728655218,18.75757422301773,20.0340496856678,78.73885714120759,,-0.5147665215174121,,,83.33333333333333,75.86974789915966,0.013476224377923344,3,-4,0.6,1,1,0,0,1,8,0.0,0.012345679012345678,0.30246913580246915,0.07453416149068323,0.8012422360248447,0.19875776397515527,-0.22513568003732518,,-0.0059358693855976,0.000995781897236,0.2465533315404792
2016-06-30,633.17,637.46,631.74,632.26,106074347.0,2296818478800.0,27.657685205153573,18.717545815285366,19.98003417737459,79.25312860633582,,0.22088729278562058,,,89.47368421052632,82.3359133126935,0.015179441758086875,4,1,0.6,2,2,0,0,2,-1,0.006211180124223602,0.006172839506172839,0.2716049382716049,0.08695652173913043,0.8136645962732919,0.18633540372670807,-0.239617908547925,,0.0044770585885344,7.679465117164987e-05,0.2455895944933004
2016-07-01,632.26,643.55,632.26,640.3,125700570.0,2809721770200.0,27.750268112631975,18.651614666764253,19.953486825957096,83.48480569367987,,1.4955468113799428,,,95.0,84.00257997936016,0.021581331354070487,5,2,0.65,3,3,0,0,3,1,0.0,0.0,0.27607361963190186,0.05555555555555555,0.8148148148148148,0.18518518518518517,-0.2534363916574103,,0.0136612794141913,0.0010572146151003,0.2427867649638954
2016-07-04,643.11,647.96,641.96,647.96,137011827.0,3185431268450.0,27.82682334916865,18.60373387033204,19.947113923274078,87.29198546126196,82.92870706222449,3.061497248175197,0.2165652003850883,2.8449320477901088,95.23809523809524,85.55019902697921,0.03061888822794322,6,3,0.7,4,4,0,0,4,2,0.0,0.01818181818181818,0.24848484848484848,0.06134969325153374,0.8466257668711656,0.15337423312883436,-0.25789530966983,,0.0102331730459475,0.0053061569962363,0.2496395111266364
2016-07-05,650.47,658.45,647.52,650.88,149215922.0,3052850078800.0,28.094593086587995,18.530634892167598,19.9874922555231,90.02125438584008,83.87438003870656,4.3320465875354826,1.0396614778151672,3.2923851097203154,95.45454545454545,91.69993164730008,0.03433555096989932,7,4,0.7,5,5,0,0,5,3,0.006097560975609756,0.024242424242424242,0.22424242424242424,0.036585365853658534,0.7926829268292683,0.2073170731707317,-0.23732154516995332,,0.012022619782611,0.0045638428740594,0.2404468205210395
2016-07-06,646.8,652.36,644.07,649.46,136905400.0,2717788938100.0,28.004713436526778,18.604490418743033,20.000397739523983,89.09612752358055,84.57061303668976,4.923102940891649,1.8163497704304636,3.1067531704611855,91.30434782608695,93.2941345458508,0.03215845207739196,-1,5,0.65,0,0,1,1,6,4,0.006097560975609756,0.024242424242424242,0.24242424242424243,0.042682926829268296,0.7865853658536586,0.21341463414634146,-0.2326943276847676,,0.0116039978211302,0.0005710541159189,0.2283558067705347
2016-07-07,652.49,661.12,652.13,661.12,135185970.0,2857169948000.0,28.23196632677103,18.51477115966822,20.056576104556633,91.7048156037408,85.5218400456299,6.122977119055585,2.677675240155488,3.4453018789000964,87.5,92.89939770374552,0.03163546848378921,1,6,0.65,1,1,0,0,7,5,0.0,0.01818181818181818,0.23636363636363636,0.04242424242424243,0.8121212121212121,0.18787878787878787,-0.22249408447748484,,0.0103569072369355,-0.0010620727825207,0.2227647419428071
2016-07-08,661.07,665.53,655.91,658.68,143915158.0,3477262170000.0,28.307099599162132,18.435777802865747,20.132416691597225,90.29795752838075,86.15865570999668,6.558318791044016,3.453803950333194,3.104514840710822,80.0,89.89939770374552,0.02855868135849921,-1,7,0.65,2,2,0,0,8,-1,0.012121212121212121,0.030120481927710843,0.25903614457831325,0.01818181818181818,0.7393939393939394,0.2606060606060606,-0.23165657362901104,,0.0052522694076033,-0.004724242131701,0.2406590479636629
2016-07-11,658.92,664.89,648.77,652.26,162214540.0,3231599633000.0,28.090822109945105,18.633335757487863,20.140180218350192,86.53624106807027,86.2090004244065,6.062362871810372,3.9755157346286296,2.086847137181742,73.07692307692308,85.4671632715111,0.019662318329455686,-2,8,0.65,0,0,1,1,9,-2,0.006134969325153374,0.06748466257668712,0.27607361963190186,0.024539877300613498,0.6257668711656442,0.37423312883435583,-0.26444382331560945,,0.0165533054625754,8.516012962876043e-05,0.2340237060953755
2016-07-12,652.81,658.9,649.86,658.9,175452489.0,3208518357000.0,27.961798519078428,18.547751224580782,20.14738920747795,87.13326825968716,86.33223613577726,6.035587784700572,4.387530144643018,1.6480576400575533,62.96296296296296,78.9688467731946,0.014898591355402623,1,9,0.65,0,1,2,0,10,1,0.006134969325153374,0.04294478527607362,0.26993865030674846,0.018404907975460124,0.656441717791411,0.34355828220858897,-0.21667664623429692,,0.0172856515858019,0.0017853219045963,0.2375326794282415
2016-07-13,662.04,676.06,662.04,675.12,159902969.0,3681318711100.0,28.63190270362405,18.375218797979404,20.26682037881315,90.74921798939903,86.9211670495935,7.220820487967602,4.954188213307935,2.266632274659667,78.57142857142857,76.42226292226293,0.02465476297704108,2,9,0.65,1,2,0,0,11,2,0.006172839506172839,0.04938271604938271,0.2654320987654321,0.018518518518518517,0.5987654320987654,0.4012345679012346,-0.19870880932904578,,0.022714113433267,0.0034724131512536,0.246339962589082
2016-07-14,675.66,681.75,666.69,666.69,160071744.0,3201751048300.0,28.711648126906173,18.21507767574003,20.41690470195138,86.68022557576927,86.88904151975028,7.16794649101912,5.396939868850172,1.7710066221689482,75.86206896551724,74.09467671536638,0.024227106713249617,-1,9,0.65,2,3,0,0,12,-1,0.006024096385542169,0.03614457831325301,0.25903614457831325,0.012048192771084338,0.5060240963855421,0.4939759036144578,-0.23299757297270884,,0.0263288872096942,0.005917716526883,0.2451278019914276
2016-07-15,666.69,670.18,661.47,664.56,130715759.0,3167990308000.0,28.556639697049523,18.440294187504293,20.496093197034405,85.63542320508098,86.7218924111277,6.729331910732041,5.663418277226546,1.0659136335054953,70.0,72.09467671536638,0.020263955008741927,-2,9,0.65,0,0,1,1,13,-2,0.0,0.03067484662576687,0.25153374233128833,0.018404907975460124,0.44171779141104295,0.558282208588957,-0.21703412577980125,,0.0276228327906259,0.0136358257271988,0.254649654499366
2016-07-18,664.12,673.5,662.25,673.5,131338956.0,2456853401000.0,28.563753961132736,18.30284730256957,20.59593346823709,86.37760481695551,86.67598739857141,6.988209825485786,5.928376586878394,1.0598332386073919,74.19354838709677,72.31800177740111,0.023132410327408762,1,9,0.65,1,1,0,0,14,1,0.006097560975609756,0.018292682926829267,0.24390243902439024,0.024390243902439025,0.47560975609756095,0.524390243902439,-0.20726341575329513,,0.0207281639763489,0.0128922958086993,0.2542594882907545
2016-07-19,675.89,677.35,660.09,667.76,139422655.0,2828265725700.0,28.487625154004686,18.08018693332686,20.721152183692055,83.39817633091863,86.23894592288437,6.497431412398599,6.042187551982435,0.4552438604161635,71.875,74.10040918480851,0.022222366502217386,-1,-1,0.6,2,0,0,1,15,-1,0.0,0.012269938650306749,0.25153374233128833,0.006134969325153374,0.44785276073619634,0.5521472392638037,-0.1906149684857627,,0.0221029177939187,0.0129257500089753,0.2497842622802819
