Date,Open,High,Low,Close,Volume,Value,DMI_plusDI,DMI_minusDI,DMI_ADX,ULT_RSI,ULT_RSI_signal,AMACD,AMACD_signal,AMACD_hist,BBWP,BBWP_MA,BBWP_BBW,net_run,td_setup,pct_up_20d,consec_hh,consec_hl,consec_lh,consec_ll,ma20_streak,bull_bar_streak,pct_ursi_oversold,pct_bb20_below,pct_below_ema200,pct_ursi_overbought,pct_ursi_above_50,pct_ursi_below_50,up_down_vol_ratio_20d,volume_ratio_20_60,net_fgn_pct_5d,net_fgn_pct_20d,fgn_share_20d
2016-05-27,756.19,760.77,756.19,759.26,28678000.0,318394000000.0,0.0,0.0,,,,,,,,,,0,0,,0,0,0,0,0,1,,,,,,,,,,,
2016-05-30,760.14,762.2,758.42,761.04,31857270.0,400069000000.0,0.0,0.0,,,,,,,,,,1,0,,1,1,0,0,0,2,,,,,,,,,,,
2016-05-31,762.0,764.31,760.07,761.87,36127030.0,464763000000.0,0.0,0.0,,,,,,,,,,2,0,,2,2,0,0,0,-1,,,,,,,,,,,
2016-06-01,761.5,768.1,761.4,768.11,32204330.0,393992000000.0,0.0,0.0,,,,,,,,,,3,0,,3,3,0,0,0,1,0.006172839506172839,0.024691358024691357,0.29878048780487804,0.043209876543209874,0.6111111111111112,0.3888888888888889,,,,,
2016-06-02,768.33,780.65,768.33,780.65,37081092.0,487562000000.0,0.0,0.0,,,,,,,,,,4,1,,4,4,0,0,0,2,0.006097560975609756,0.012195121951219513,0.27710843373493976,0.036585365853658534,0.6707317073170732,0.32926829268292684,,,-0.0032717509855771,,
2016-06-03,782.57,783.9,780.14,780.14,37142480.0,432491000000.0,0.0,0.0,,,,,,,,,,-1,2,,5,5,0,0,0,-1,0.012422360248447204,0.024844720496894408,0.29012345679012347,0.031055900621118012,0.6894409937888198,0.3105590062111801,,,-0.0034723726947413,,
2016-06-06,779.69,780.79,771.77,775.69,34247000.0,387556000000.0,0.0,0.0,,,,,,,,,0.02223632663625232,-2,3,,0,0,1,1,0,-2,0.0125,0.01875,0.2777777777777778,0.03125,0.68125,0.31875,,,-0.0033956611169683,,
2016-06-07,775.88,781.4,775.88,781.4,27802980.0,369573000000.0,0.0,0.0,,,,,,,0.0,,0.021377465078625747,1,4,,1,1,0,0,0,1,0.012422360248447204,0.012422360248447204,0.2716049382716049,0.024844720496894408,0.7267080745341615,0.2732919254658385,,,-0.008368789874728,,
2016-06-08,782.58,788.04,782.58,786.87,34707500.0,434174000000.0,0.0,0.0,,,,,,,0.0,,0.020585633113742025,2,5,,2,2,0,0,0,2,0.012345679012345678,0.024691358024691357,0.2822085889570552,0.024691358024691357,0.691358024691358,0.30864197530864196,,,-0.0038651738503596,,
2016-06-09,788.36,794.21,787.95,794.21,38124880.0,488913000000.0,0.0,0.0,,,,,,,0.0,,0.01946223383415593,3,6,,3,3,0,0,0,3,0.012195121951219513,0.006097560975609756,0.23030303030303031,0.024390243902439025,0.725609756097561,0.27439024390243905,,,0.0084769516075821,,
