feature,eta2_mean,eta2_VNINDEX,eta2_MIDCAP,eta2_SMALLCAP,eta2_VN30,signature,group,rf_gini,shap_total,shap_Bull,shap_Neut,shap_Bear,wass_max,wass_Bull_Neut,wass_Bull_Bear,wass_Neut_Bear,rank_eta2_mean,rank_rf_gini,rank_shap_total,rank_wass_max,rank_avg
ULT_RSI,0.64940,0.67270,0.60610,0.68710,0.63150,−Bear,Momentum,0.15207,1.87688,1.16073,0.35940,0.35674,2.17719,1.18275,2.17719,0.99445,1,1,1,1,1.00000
DMI_plusDI,0.56600,0.56910,0.64320,0.50090,0.55090,−Bear,Trend,0.10767,1.72922,0.89879,0.27987,0.55056,2.03051,1.18022,2.03051,0.86957,2,4,3,2,2.75000
ULT_RSI_signal,0.53470,0.53640,0.46930,0.61930,0.51360,−Bear,Momentum,0.10832,1.85195,0.92274,0.74475,0.18446,1.83222,1.20339,1.83222,0.67417,3,3,2,6,3.50000
DMI_minusDI,0.47020,0.57940,0.45850,0.52320,0.31950,+Bear,Trend,0.11938,1.60789,0.27257,0.30012,1.03520,1.90796,0.73952,1.90796,1.26199,4,2,4,5,3.75000
AMACD_signal,0.46660,0.56760,0.33860,0.44330,0.51680,−Bear,Momentum,0.08428,1.15790,0.25440,0.22274,0.68077,2.01760,0.67491,2.01760,1.36538,5,6,6,3,5.00000
AMACD,0.43600,0.54240,0.28030,0.41680,0.50450,−Bear,Momentum,0.09284,1.08317,0.19631,0.16970,0.71717,1.95900,0.59269,1.95900,1.39695,6,5,7,4,5.50000
pct_below_ema200,0.32420,0.32230,0.34820,0.35200,0.27440,+Bear,Breadth,0.05204,1.35906,0.81922,0.37518,0.16466,1.54447,0.90613,1.54447,0.65223,7,7,5,7,6.50000
BBWP_MA,0.24880,0.24430,0.32160,0.19330,0.23620,+Bear,Volatility,0.02879,1.01781,0.11754,0.41576,0.48451,1.39778,0.40583,1.00473,1.39778,8,10,9,8,8.75000
DMI_ADX,0.23710,0.36800,0.38540,0.15000,0.04490,+Bear,Trend,0.05056,1.02836,0.25718,0.53927,0.23191,1.28712,0.44613,0.90607,1.28712,9,8,8,10,8.75000
BBWP,0.21460,0.20520,0.25510,0.19010,0.20820,+Bear,Volatility,0.02255,0.38787,0.08417,0.14374,0.15996,1.31124,0.36375,0.95017,1.31124,10,12,16,9,11.75000
pct_bb20_below,0.19390,0.18030,0.13400,0.21360,0.24750,+Bear,Breadth,0.01118,0.42650,0.07395,0.08353,0.26903,1.26364,0.15903,1.26364,1.11087,11,17,13,11,13.00000
