feature,group,eta2_mean,eta2_min,VNINDEX,MIDCAP,SMALLCAP,VN30,max_spread,z_Bull_avg,z_Neut_avg,z_Bear_avg,signature
ULT_RSI,Momentum,0.6494,0.6061,0.6727,0.6061,0.6871,0.6315,2.1772,0.9095,-0.2733,-1.2677,−Bear
DMI_plusDI,Trend,0.5660,0.5009,0.5691,0.6432,0.5009,0.5509,2.0305,0.8847,-0.2955,-1.1458,−Bear
ULT_RSI_signal,Momentum,0.5347,0.4693,0.5364,0.4693,0.6193,0.5136,1.8322,0.8619,-0.3415,-0.9703,−Bear
DMI_minusDI,Trend,0.4702,0.3195,0.5794,0.4585,0.5232,0.3195,1.9080,-0.6581,0.0609,1.2498,+Bear
AMACD_signal,Momentum,0.4666,0.3386,0.5676,0.3386,0.4433,0.5168,2.0176,0.6321,-0.0204,-1.3855,−Bear
AMACD,Momentum,0.4360,0.2803,0.5424,0.2803,0.4168,0.5045,1.9590,0.5774,0.0151,-1.3816,−Bear
pct_below_ema200,Breadth,0.3242,0.2744,0.3223,0.3482,0.3520,0.2744,1.5445,-0.6711,0.2337,0.8733,+Bear
BBWP_MA,Volatility,0.2488,0.1933,0.2443,0.3216,0.1933,0.2362,1.3978,0.0113,-0.3821,1.0157,+Bear
DMI_ADX,Trend,0.2371,0.0449,0.3680,0.3854,0.1500,0.0449,1.2764,-0.0019,-0.3615,0.9040,+Bear
BBWP,Volatility,0.2146,0.1901,0.2052,0.2551,0.1901,0.2082,1.3112,0.0061,-0.3551,0.9562,+Bear
pct_bb20_below,Breadth,0.1939,0.1340,0.1803,0.1340,0.2136,0.2475,1.2636,-0.2774,-0.1246,0.9863,+Bear
BBWP_BBW,Volatility,0.1815,0.0213,0.3697,0.0213,0.0455,0.2892,1.0915,-0.0346,-0.2437,0.8478,+Bear
pct_ursi_below_50,Breadth,0.1513,0.1462,0.1462,0.1558,0.1542,0.1489,1.0974,-0.3639,0.0402,0.7335,+Bear
pct_ursi_above_50,Breadth,0.1513,0.1462,0.1462,0.1558,0.1542,0.1489,1.0974,0.3639,-0.0402,-0.7335,−Bear
volume_ratio_20_60,Volume,0.1399,0.0894,0.1643,0.0894,0.1767,0.1292,0.8317,0.4573,-0.2584,-0.2982,+Bull
consec_lh,Streak,0.0776,0.0724,0.0724,0.0745,0.0821,0.0815,0.8243,-0.2526,-0.0016,0.5717,+Bear
consec_hh,Streak,0.0732,0.0619,0.0655,0.1020,0.0636,0.0619,0.6981,0.3341,-0.1418,-0.3640,−Bear
fgn_share_20d,Flow,0.0673,0.0259,0.0259,0.0625,0.1000,0.0808,0.6142,-0.2627,0.1512,0.1260,−Bull
consec_hl,Streak,0.0574,0.0486,0.0543,0.0770,0.0497,0.0486,0.6501,0.2805,-0.0995,-0.3695,−Bear
consec_ll,Streak,0.0562,0.0458,0.0475,0.0458,0.0655,0.0658,0.6973,-0.2213,0.0138,0.4760,+Bear
pct_ursi_oversold,Breadth,0.0535,0.0317,0.0595,0.0419,0.0317,0.0809,0.6751,-0.2048,-0.0004,0.4703,+Bear
AMACD_hist,Momentum,0.0437,0.0179,0.0425,0.0179,0.0477,0.0667,0.5883,0.0976,0.0669,-0.4423,−Bear
up_down_vol_ratio_20d,Volume,0.0356,0.0063,0.0063,0.0149,0.0398,0.0815,0.4862,0.0434,0.0815,-0.3167,−Bear
pct_ursi_overbought,Breadth,0.0319,0.0083,0.0515,0.0083,0.0364,0.0314,0.5021,0.1070,0.0260,-0.3511,−Bear
net_fgn_pct_20d,Flow,0.0115,0.0082,0.0082,0.0144,0.0135,0.0097,0.2942,0.0019,0.0547,-0.1167,−Bear
net_fgn_pct_5d,Flow,0.0108,0.0016,0.0133,0.0016,0.0106,0.0176,0.2503,0.0181,0.0295,-0.1118,−Bear
