Date,index_code,fgn_buy,fgn_sell,total_value
2016-05-27,VN30,157440894000.0,83635485000.0,790310000000.0
2016-05-27,VNINDEX,194151528000.0,102074211000.0,1592573564200.0
2016-05-27,VNMID,23846491000.0,7938106000.0,374139000000.0
2016-05-27,VNSML,3589545000.0,2336897000.0,318394000000.0
2016-05-30,VN30,178771843000.0,72295699000.0,876274000000.0
2016-05-30,VNINDEX,236755156000.0,93148732000.0,1843536762800.0
2016-05-30,VNMID,38230359000.0,11352250000.0,466487000000.0
2016-05-30,VNSML,2960389000.0,4422103000.0,400069000000.0
2016-05-31,VN30,149443614000.0,111342585000.0,1065973000000.0
2016-05-31,VNINDEX,229577801000.0,145543041000.0,2176318458200.0
2016-05-31,VNMID,44078444000.0,18765949000.0,473062000000.0
2016-05-31,VNSML,6796051000.0,3591753000.0,464763000000.0
2016-06-01,VN30,142656082000.0,162299261000.0,1056588000000.0
2016-06-01,VNINDEX,214099297000.0,198949760000.0,1999192069500.0
2016-06-01,VNMID,46241601000.0,31125606000.0,432383000000.0
2016-06-01,VNSML,4764047000.0,5477657000.0,393992000000.0
2016-06-02,VN30,163506013000.0,79688522000.0,849640000000.0
2016-06-02,VNINDEX,224381500000.0,120060425000.0,1885208176000.0
2016-06-02,VNMID,34810892000.0,26503527000.0,406331000000.0
2016-06-02,VNSML,4658652000.0,13695720000.0,487562000000.0
2016-06-03,VN30,287939306000.0,263289293000.0,1065690000000.0
2016-06-03,VNINDEX,340946740000.0,313133366000.0,2116517331300.0
2016-06-03,VNMID,40179411000.0,41705014000.0,464638000000.0
2016-06-03,VNSML,12379230000.0,11937009000.0,432491000000.0
2016-06-06,VN30,62118698000.0,332504697000.0,1288226000000.0
2016-06-06,VNINDEX,159586141000.0,377218518000.0,2346153810000.0
2016-06-06,VNMID,78392784000.0,32103097000.0,470896000000.0
2016-06-06,VNSML,9094311000.0,10346390000.0,387556000000.0
2016-06-07,VN30,272872913000.0,196184452000.0,854555000000.0
2016-06-07,VNINDEX,343003999000.0,250220809000.0,1840988541100.0
2016-06-07,VNMID,57579293000.0,29737955000.0,477865000000.0
2016-06-07,VNSML,10313311000.0,17085995000.0,369573000000.0
2016-06-08,VN30,346636567000.0,214633754000.0,1146741000000.0
2016-06-08,VNINDEX,528792679000.0,355078660000.0,2520041662000.0
2016-06-08,VNMID,157903415000.0,105917347000.0,679189000000.0
2016-06-08,VNSML,16971986000.0,8513134000.0,434174000000.0
2016-06-09,VN30,175562382000.0,96657290000.0,822373000000.0
2016-06-09,VNINDEX,274110243000.0,141886291000.0,1962012001000.0
2016-06-09,VNMID,45145948000.0,20364651000.0,484374000000.0
2016-06-09,VNSML,20649135000.0,3616130000.0,488913000000.0
2016-06-10,VN30,243225369000.0,85182433000.0,1177061000000.0
2016-06-10,VNINDEX,335658201000.0,141104146000.0,2313371620000.0
2016-06-10,VNMID,51635854000.0,24911264000.0,445254000000.0
2016-06-10,VNSML,14797071000.0,19393570000.0,486879000000.0
2016-06-13,VN30,189099283000.0,288323372000.0,1154451000000.0
2016-06-13,VNINDEX,305699400000.0,392769917000.0,2307456051000.0
2016-06-13,VNMID,65067043000.0,87600336000.0,545629000000.0
2016-06-13,VNSML,8503398000.0,8323424000.0,426196000000.0
2016-06-14,VN30,83090979000.0,76148605000.0,718673000000.0
2016-06-14,VNINDEX,164544466000.0,180470522000.0,1822991150400.0
2016-06-14,VNMID,39891398000.0,34140937000.0,446329000000.0
2016-06-14,VNSML,9953372000.0,51741081000.0,530336000000.0
2016-06-15,VN30,77927899000.0,96090926000.0,746841000000.0
2016-06-15,VNINDEX,148604267000.0,164139325000.0,1998624085500.0
2016-06-15,VNMID,36280082000.0,51608407000.0,494502000000.0
2016-06-15,VNSML,10850935000.0,11999189000.0,470029000000.0
2016-06-16,VN30,126460207000.0,146953671000.0,848433000000.0
2016-06-16,VNINDEX,219646083000.0,244192824000.0,2115804947000.0
2016-06-16,VNMID,67945925000.0,60670746000.0,616430000000.0
2016-06-16,VNSML,10662741000.0,22888594000.0,490024000000.0
2016-06-17,VN30,265268997000.0,827513280000.0,1794786000000.0
2016-06-17,VNINDEX,455263329000.0,881558003000.0,2925094511500.0
2016-06-17,VNMID,163302817000.0,52892477000.0,575797000000.0
2016-06-17,VNSML,8168557000.0,9586614000.0,443796000000.0
2016-06-20,VN30,138258995000.0,111219362000.0,865029000000.0
2016-06-20,VNINDEX,251857001000.0,182440676000.0,2005283570900.0
2016-06-20,VNMID,101248244000.0,65989494000.0,618410000000.0
2016-06-20,VNSML,12094810000.0,5669421000.0,368759000000.0
2016-06-21,VN30,319772405000.0,230834489000.0,1166669000000.0
2016-06-21,VNINDEX,370733866000.0,287289787000.0,2508273603500.0
2016-06-21,VNMID,60746022000.0,54321148000.0,663197000000.0
2016-06-21,VNSML,10785720000.0,7007494000.0,545411000000.0
2016-06-22,VN30,199021510000.0,186880299000.0,829422000000.0
2016-06-22,VNINDEX,374299956000.0,338553848000.0,2186440248000.0
2016-06-22,VNMID,166085981000.0,144303500000.0,763482000000.0
2016-06-22,VNSML,9975916000.0,8616125000.0,490881000000.0
2016-06-23,VN30,174594373000.0,254234776000.0,1078692000000.0
2016-06-23,VNINDEX,216482054000.0,296216998000.0,2354738463500.0
2016-06-23,VNMID,29028927000.0,67387718000.0,663951000000.0
2016-06-23,VNSML,10653440000.0,6275438000.0,526410000000.0
2016-06-24,VN30,158862199000.0,232575412000.0,2411388000000.0
2016-06-24,VNINDEX,294566104000.0,317217325000.0,4804915003000.0
2016-06-24,VNMID,78220470000.0,69199865000.0,1157899000000.0
2016-06-24,VNSML,21840687000.0,4773558000.0,972998000000.0
2016-06-27,VN30,73397106000.0,79179129000.0,829764000000.0
2016-06-27,VNINDEX,259080370000.0,242968055000.0,1974111862100.0
2016-06-27,VNMID,163801083000.0,158115663000.0,634280000000.0
2016-06-27,VNSML,14208078000.0,4497897000.0,427385000000.0
2016-06-28,VN30,136050611000.0,141112211000.0,887833000000.0
2016-06-28,VNINDEX,244665707000.0,218402322000.0,1947878986400.0
2016-06-28,VNMID,85549973000.0,69135408000.0,501751000000.0
2016-06-28,VNSML,21087048000.0,7858502000.0,493671000000.0
2016-06-29,VN30,161896493000.0,157973001000.0,1113140000000.0
2016-06-29,VNINDEX,238373083000.0,259111523000.0,2521907204500.0
2016-06-29,VNMID,54417625000.0,77207400000.0,593899000000.0
2016-06-29,VNSML,14890377000.0,12108838000.0,689870000000.0
2016-06-30,VN30,147637393000.0,92580781000.0,921350000000.0
2016-06-30,VNINDEX,231207282000.0,169548735000.0,2296818478800.0
2016-06-30,VNMID,66115056000.0,55466935000.0,568420000000.0
2016-06-30,VNSML,17169027000.0,18890262000.0,694641000000.0
2016-07-01,VN30,296310323000.0,241161090000.0,1427026000000.0
2016-07-01,VNINDEX,382755962000.0,308258004000.0,2809721770200.0
2016-07-01,VNMID,49297111000.0,47420294000.0,578091000000.0
2016-07-01,VNSML,20595651000.0,17452091000.0,663901000000.0
2016-07-04,VN30,236396748000.0,224607685000.0,1270064000000.0
2016-07-04,VNINDEX,530583956000.0,541672131000.0,3185431268450.0
2016-07-04,VNMID,272595928000.0,271771964000.0,1075635000000.0
2016-07-04,VNSML,12527449000.0,36044128000.0,692757000000.0
2016-07-05,VN30,142866980000.0,111498164000.0,1382015000000.0
2016-07-05,VNINDEX,251026921000.0,188642403000.0,3052850078800.0
2016-07-05,VNMID,68498443000.0,45912126000.0,669119000000.0
2016-07-05,VNSML,18508977000.0,13102182000.0,784527000000.0
2016-07-06,VN30,83483653000.0,91188130000.0,1036501000000.0
2016-07-06,VNINDEX,152438499000.0,176708845000.0,2717788938100.0
2016-07-06,VNMID,46031554000.0,44805716000.0,782404000000.0
2016-07-06,VNSML,10759660000.0,24290630000.0,712195000000.0
2016-07-07,VN30,126288299000.0,95929459000.0,1175841000000.0
2016-07-07,VNINDEX,193415733000.0,143491027000.0,2857169948000.0
2016-07-07,VNMID,38093075000.0,21270639000.0,740023000000.0
2016-07-07,VNSML,10856033000.0,8886001000.0,772229000000.0
2016-07-08,VN30,142543627000.0,138153572000.0,1307878000000.0
2016-07-08,VNINDEX,833791488000.0,830432353000.0,3477262170000.0
2016-07-08,VNMID,642391595000.0,644515233000.0,1271180000000.0
2016-07-08,VNSML,12112974000.0,9458902000.0,699844000000.0
2016-07-11,VN30,245762880000.0,123581996000.0,1386991000000.0
2016-07-11,VNINDEX,366518246000.0,204043663000.0,3231599633000.0
2016-07-11,VNMID,38102503000.0,47455115000.0,745622000000.0
2016-07-11,VNSML,31309632000.0,7035441000.0,856618000000.0
2016-07-12,VN30,178438604000.0,108481853000.0,1308604000000.0
2016-07-12,VNINDEX,467842645000.0,391535548000.0,3208518357000.0
2016-07-12,VNMID,236775726000.0,243480408000.0,928638000000.0
2016-07-12,VNSML,16027084000.0,18752258000.0,835829000000.0
2016-07-13,VN30,541207989000.0,458639108000.0,1875562000000.0
2016-07-13,VNINDEX,643077064000.0,561362114000.0,3681318711100.0
2016-07-13,VNMID,41611391000.0,28326713000.0,1034095000000.0
2016-07-13,VNSML,9916115000.0,4893435000.0,490973000000.0
2016-07-14,VN30,276441558000.0,192274679000.0,1728906000000.0
2016-07-14,VNINDEX,390400517000.0,271919131000.0,3201751048300.0
2016-07-14,VNMID,78018543000.0,43059560000.0,677756000000.0
2016-07-14,VNSML,14900876000.0,3470187000.0,575251000000.0
2016-07-15,VN30,875833180000.0,871457992000.0,1900341000000.0
2016-07-15,VNINDEX,978744239000.0,962189201000.0,3167990308000.0
2016-07-15,VNMID,61405422000.0,68597677000.0,583059000000.0
2016-07-15,VNSML,20922696000.0,4355730000.0,548362000000.0
2016-07-18,VN30,203825003000.0,191254117000.0,1292520000000.0
2016-07-18,VNINDEX,279756800000.0,247042495000.0,2456853401000.0
2016-07-18,VNMID,26800213000.0,27601107000.0,449758000000.0
2016-07-18,VNSML,21469669000.0,11447510000.0,560951000000.0
2016-07-19,VN30,190872827000.0,136373864000.0,1515226000000.0
2016-07-19,VNINDEX,284747153000.0,195238524000.0,2828265725700.0
2016-07-19,VNMID,53768590000.0,32913797000.0,569400000000.0
2016-07-19,VNSML,12627907000.0,6379418000.0,515428000000.0
2016-07-20,VN30,158705753000.0,139830029000.0,1212048000000.0
2016-07-20,VNINDEX,233662927000.0,199839142000.0,2307138416000.0
2016-07-20,VNMID,32508768000.0,38167427000.0,421586000000.0
2016-07-20,VNSML,10574487000.0,3881745000.0,525259000000.0
2016-07-21,VN30,196073191000.0,287748233000.0,1142031000000.0
2016-07-21,VNINDEX,298758229000.0,371890469000.0,2325180285800.0
2016-07-21,VNMID,56332605000.0,58765783000.0,512939000000.0
2016-07-21,VNSML,16985736000.0,8465007000.0,531422000000.0
2016-07-22,VN30,187669459000.0,189868185000.0,1747109000000.0
2016-07-22,VNINDEX,276907472000.0,232888589000.0,3006165887400.0
2016-07-22,VNMID,67857865000.0,19958351000.0,515982000000.0
2016-07-22,VNSML,10265099000.0,6637187000.0,604795000000.0
2016-07-25,VN30,194227442000.0,119102627000.0,856461000000.0
2016-07-25,VNINDEX,289848795000.0,180812670000.0,1779106507600.0
2016-07-25,VNMID,84680678000.0,55404975000.0,404585000000.0
2016-07-25,VNSML,12525802000.0,7499874000.0,483614000000.0
2016-07-26,VN30,231783798000.0,103453997000.0,1019238000000.0
2016-07-26,VNINDEX,283191560000.0,125731914000.0,1949580485000.0
2016-07-26,VNMID,44639291000.0,14612300000.0,458896000000.0
2016-07-26,VNSML,12343551000.0,7913008000.0,421196000000.0
2016-07-27,VN30,253181125000.0,153956847000.0,1327169000000.0
2016-07-27,VNINDEX,341125283000.0,210899539000.0,2334407703000.0
2016-07-27,VNMID,65364296000.0,51698898000.0,469767000000.0
2016-07-27,VNSML,15874554000.0,6091970000.0,490495000000.0
2016-07-28,VN30,202954655000.0,212790334000.0,1507897000000.0
2016-07-28,VNINDEX,260906803000.0,253393839000.0,2403538843000.0
2016-07-28,VNMID,42805869000.0,42897072000.0,453389000000.0
2016-07-28,VNSML,10603801000.0,4649794000.0,374523000000.0
2016-07-29,VN30,246796973000.0,175209721000.0,1238696000000.0
2016-07-29,VNINDEX,310573648000.0,244053460000.0,2190289703000.0
2016-07-29,VNMID,54293403000.0,65961650000.0,544061000000.0
2016-07-29,VNSML,9262653000.0,4207725000.0,375939000000.0
2016-08-01,VN30,260675228000.0,270302734000.0,1169333000000.0
2016-08-01,VNINDEX,296914851000.0,307518107000.0,1950676870000.0
2016-08-01,VNMID,75432243000.0,79692604000.0,412055000000.0
2016-08-01,VNSML,13111310000.0,1205292000.0,344949000000.0
2016-08-02,VN30,319148454000.0,321273775000.0,1641150000000.0
2016-08-02,VNINDEX,423693681000.0,385812215000.0,3165708637800.0
2016-08-02,VNMID,61326651000.0,60994706000.0,695720000000.0
2016-08-02,VNSML,47079246000.0,13564957000.0,445345000000.0
2016-08-03,VN30,189681587000.0,61827418000.0,945725000000.0
2016-08-03,VNINDEX,256027862000.0,81818902000.0,1827178486500.0
