Date,return,port_value,cash,n_held,year,config,side,schema,window
2022-01-04,0.017357476135705714,1017357.4761357057,8712.999999999942,5,2022,EqWt,long,tr_price7f,0
2022-01-05,0.020254655148975304,1037963.7009780663,8712.999999999942,5,2022,EqWt,long,tr_price7f,0
2022-01-06,0.010139189012939837,1048487.8111308535,8712.999999999942,5,2022,EqWt,long,tr_price7f,0
2022-01-07,-0.00018650838545292045,1048292.2593620324,8712.999999999942,5,2022,EqWt,long,tr_price7f,0
2022-01-10,-0.03733704470350849,1009152.1244118903,8712.999999999942,5,2022,EqWt,long,tr_price7f,0
2022-01-11,0.002517836517419175,1011693.0044823657,9090.967543090694,5,2022,EqWt,long,tr_price7f,0
2022-01-12,0.006747139251917535,1018519.038063799,9090.967543090694,5,2022,EqWt,long,tr_price7f,0
2022-01-13,-0.029050391547888552,988930.6612090669,9090.967543090694,5,2022,EqWt,long,tr_price7f,0
2022-01-14,-0.006425489316133511,982576.2978110712,9090.967543090694,5,2022,EqWt,long,tr_price7f,0
2022-01-17,-0.06838336140720104,915384.4277277071,9090.967543090694,5,2022,EqWt,long,tr_price7f,0
2022-01-18,-0.028833719876736233,888990.4895590799,7039.73456594249,5,2022,EqWt,long,tr_price7f,0
2022-01-19,0.033047616107169345,918369.5059809529,7039.73456594249,5,2022,EqWt,long,tr_price7f,0
2022-01-20,0.025832952548668273,942093.7018511028,7039.73456594249,5,2022,EqWt,long,tr_price7f,0
2022-01-21,-0.025104632248619564,918442.7859223902,7039.73456594249,5,2022,EqWt,long,tr_price7f,0
2022-01-24,-0.06252117103930323,861020.6674139223,7039.73456594249,5,2022,EqWt,long,tr_price7f,0
2022-01-25,0.008175646240762413,868060.0677966836,6692.304101092809,5,2022,EqWt,long,tr_price7f,0
2022-01-26,-0.02469647577874951,846622.0433578432,6692.304101092809,5,2022,EqWt,long,tr_price7f,0
2022-01-27,0.000992315920577811,847462.1598901793,6692.304101092809,5,2022,EqWt,long,tr_price7f,0
2022-01-28,0.02763713542776303,870883.5863729687,6692.304101092809,5,2022,EqWt,long,tr_price7f,0
2022-02-07,0.02533113204478814,892944.0534950211,6692.304101092809,5,2022,EqWt,long,tr_price7f,0
2022-02-08,-0.013860847585458752,880567.0920671849,7477.680826166819,5,2022,EqWt,long,tr_price7f,0
2022-02-09,0.001864725251907346,882209.1077597612,7477.680826166819,5,2022,EqWt,long,tr_price7f,0
2022-02-10,0.01171958312320314,892548.2307301986,7477.680826166819,5,2022,EqWt,long,tr_price7f,0
