schema,scenario,config,side,top_k,rebalance_days,year,strategy_return,vni_return,alpha
26f,LIQ_TOP100_EXETF,EqWt,long,5,5,2022,-0.198990091161103,-0.327835918519903,0.1288458273588
tr_price7f,LIQ_TOP100_EXETF,EqWt,long,5,5,2022,-0.13339700824853307,-0.327835918519903,0.19443891027136995
26f,LIQ_TOP100_EXETF,EqWt,long,5,5,2023,0.5159455475607395,0.12197519586134442,0.3939703516993951
tr_price7f,LIQ_TOP100_EXETF,EqWt,long,5,5,2023,0.06259333424117886,0.12197519586134442,-0.059381861620165566
26f,LIQ_TOP100_EXETF,EqWt,long,5,5,2024,0.39624132691554603,0.12111369730868549,0.27512762960686055
tr_price7f,LIQ_TOP100_EXETF,EqWt,long,5,5,2024,0.17867974007968268,0.12111369730868549,0.057566042770997194
26f,LIQ_TOP100_EXETF,EqWt,long,5,5,2025,0.47857433062137766,0.4086818547814137,0.06989247583996394
tr_price7f,LIQ_TOP100_EXETF,EqWt,long,5,5,2025,0.41829568492616387,0.4086818547814137,0.009613830144750146
26f,LIQ_TOP100_EXETF,EqWt,long,5,5,2026,0.07285551069783147,0.06534640149286375,0.007509109204967723
tr_price7f,LIQ_TOP100_EXETF,EqWt,long,5,5,2026,0.25709048595846884,0.06534640149286375,0.1917440844656051
26f,LIQ_TOP70_EXETF,EqWt,long,5,5,2022,-0.3504775626830221,-0.327835918519903,-0.02264164416311909
tr_price7f,LIQ_TOP70_EXETF,EqWt,long,5,5,2022,-0.14150903161531558,-0.327835918519903,0.18632688690458743
26f,LIQ_TOP70_EXETF,EqWt,long,5,5,2023,0.47556531145084135,0.12197519586134442,0.35359011558949693
tr_price7f,LIQ_TOP70_EXETF,EqWt,long,5,5,2023,0.4605440340793123,0.12197519586134442,0.3385688382179679
26f,LIQ_TOP70_EXETF,EqWt,long,5,5,2024,0.28434809882711276,0.12111369730868549,0.16323440151842727
tr_price7f,LIQ_TOP70_EXETF,EqWt,long,5,5,2024,0.07512742218871815,0.12111369730868549,-0.045986275119967335
26f,LIQ_TOP70_EXETF,EqWt,long,5,5,2025,0.8358764579494724,0.4086818547814137,0.4271946031680587
tr_price7f,LIQ_TOP70_EXETF,EqWt,long,5,5,2025,0.6640071726307302,0.4086818547814137,0.25532531784931645
26f,LIQ_TOP70_EXETF,EqWt,long,5,5,2026,-0.06370641617809025,0.06534640149286375,-0.129052817670954
tr_price7f,LIQ_TOP70_EXETF,EqWt,long,5,5,2026,-0.1233588148624416,0.06534640149286375,-0.18870521635530535
26f,LIQ_TOP90_EXETF,EqWt,long,5,5,2022,-0.24437285005967868,-0.327835918519903,0.08346306846022433
tr_price7f,LIQ_TOP90_EXETF,EqWt,long,5,5,2022,-0.26458692067500234,-0.327835918519903,0.06324899784490068
26f,LIQ_TOP90_EXETF,EqWt,long,5,5,2023,0.4792299817244874,0.12197519586134442,0.35725478586314297
tr_price7f,LIQ_TOP90_EXETF,EqWt,long,5,5,2023,0.23032830087123113,0.12197519586134442,0.10835310500988671
26f,LIQ_TOP90_EXETF,EqWt,long,5,5,2024,0.5145452938124955,0.12111369730868549,0.39343159650381
tr_price7f,LIQ_TOP90_EXETF,EqWt,long,5,5,2024,0.25046960472169055,0.12111369730868549,0.12935590741300507
26f,LIQ_TOP90_EXETF,EqWt,long,5,5,2025,0.6792108742973846,0.4086818547814137,0.27052901951597086
