schema,scenario,top_k,rebalance_days,n_days,avg_n_selected,avg_n_unselected,selected_ret_5d_mean,unselected_ret_5d_mean,gap_5d_mean,gap_5d_median,gap_win_rate,gap_profit_factor,selected_win_rate,unselected_win_rate
tr_price7f,TOPK_3,3,5,1076,3.0,54.66449814126394,0.008499700374663586,0.0013730186945837442,0.007126681680079842,0.004543233406457684,0.5492565055762082,1.5817289543684276,0.5966542750929368,0.5687732342007435
tr_price7f,TOPK_5,5,5,1076,5.0,52.66449814126394,0.007386161690821201,0.001200123878367142,0.006186037812454059,0.004785935597632445,0.5650557620817844,1.6310241327245425,0.6226765799256505,0.5641263940520446
tr_price7f,TOPK_10,10,5,1076,10.0,47.66449814126394,0.005962235921802639,0.0008052674923574613,0.005156968429445179,0.004226879571770531,0.578996282527881,1.6369600578720631,0.6133828996282528,0.5483271375464684
tr_price7f,RB_5,5,5,1076,5.0,52.66449814126394,0.007386161690821201,0.001200123878367142,0.006186037812454059,0.004785935597632445,0.5650557620817844,1.6310241327245425,0.6226765799256505,0.5641263940520446
tr_price7f,RB_10,5,10,1076,5.0,52.66449814126394,0.007386161690821201,0.001200123878367142,0.006186037812454059,0.004785935597632445,0.5650557620817844,1.6310241327245425,0.6226765799256505,0.5641263940520446
tr_price7f,RB_20,5,20,1076,5.0,52.66449814126394,0.007386161690821201,0.001200123878367142,0.006186037812454059,0.004785935597632445,0.5650557620817844,1.6310241327245425,0.6226765799256505,0.5641263940520446
tr_price7f,LIQ_TOP100_EXETF,5,5,1076,5.0,52.66449814126394,0.007386161690821201,0.001200123878367142,0.006186037812454059,0.004785935597632445,0.5650557620817844,1.6310241327245425,0.6226765799256505,0.5641263940520446
tr_price7f,LIQ_TOP90_EXETF,5,5,1076,5.0,50.33364312267658,0.00654498349561847,0.0012818965537044916,0.0052630869419139775,0.003545557547951894,0.5585501858736059,1.481511366438932,0.5966542750929368,0.5641263940520446
tr_price7f,LIQ_TOP70_EXETF,5,5,1076,5.0,43.778810408921935,0.00655387371945514,0.0012263030823929004,0.00532757063706224,0.002613548844031601,0.5473977695167286,1.4882209017919932,0.612453531598513,0.5613382899628253
26f,TOPK_3,3,5,1076,3.0,54.2639405204461,0.007808519673723962,0.001522958438199144,0.006285561235524818,0.0034813472743864147,0.54182156133829,1.481130471128779,0.5929368029739777,0.5724907063197026
26f,TOPK_5,5,5,1076,5.0,52.2639405204461,0.007679899103534178,0.0012838992032282277,0.006395999900305951,0.003397330880897868,0.550185873605948,1.5938776195429423,0.6013011152416357,0.5613382899628253
26f,TOPK_10,10,5,1076,10.0,47.2639405204461,0.005245995135482483,0.0011169519059245133,0.004129043229557969,0.0031475553156210625,0.5669144981412639,1.4565455368589824,0.612453531598513,0.5539033457249071
26f,RB_5,5,5,1076,5.0,52.2639405204461,0.007679899103534178,0.0012838992032282277,0.006395999900305951,0.003397330880897868,0.550185873605948,1.5938776195429423,0.6013011152416357,0.5613382899628253
26f,RB_10,5,10,1076,5.0,52.2639405204461,0.007679899103534178,0.0012838992032282277,0.006395999900305951,0.003397330880897868,0.550185873605948,1.5938776195429423,0.6013011152416357,0.5613382899628253
26f,RB_20,5,20,1076,5.0,52.2639405204461,0.007679899103534178,0.0012838992032282277,0.006395999900305951,0.003397330880897868,0.550185873605948,1.5938776195429423,0.6013011152416357,0.5613382899628253
26f,LIQ_TOP100_EXETF,5,5,1076,5.0,52.2639405204461,0.007679899103534178,0.0012838992032282277,0.006395999900305951,0.003397330880897868,0.550185873605948,1.5938776195429423,0.6013011152416357,0.5613382899628253
26f,LIQ_TOP90_EXETF,5,5,1076,5.0,49.933085501858734,0.006370712954440338,0.0014305738659163574,0.004940139088523981,0.002222369459043098,0.5408921933085502,1.4575034692994875,0.5855018587360595,0.5659851301115242
26f,LIQ_TOP70_EXETF,5,5,1076,5.0,43.454460966542754,0.005423663838454516,0.0014865767393679645,0.003937087099086552,0.002971035127555379,0.5399628252788105,1.3214646969531958,0.5827137546468402,0.5641263940520446
