schema,scenario,top_k,rebalance_days,n_trades,win_trades,loss_trades,trade_win_rate,trade_profit_factor,avg_trade_pnl,median_trade_pnl,avg_trade_return
tr_price7f,TOPK_3,3,5,528,321,207,0.6079545454545454,1.1782807545672336,1470.7501950540463,1270.8129519555077,0.018650902473404115
tr_price7f,TOPK_5,5,5,839,504,335,0.600715137067938,1.1523355472762749,712.3011558861899,549.107708386483,0.025460917919857898
tr_price7f,TOPK_10,10,5,1472,882,590,0.5991847826086957,1.0685376513427278,145.55779265505285,234.53826880660654,0.03510050376971414
tr_price7f,RB_5,5,5,839,504,335,0.600715137067938,1.1523355472762749,712.3011558861899,549.107708386483,0.025460917919857898
tr_price7f,RB_10,5,10,429,239,190,0.5571095571095571,1.4911169418409995,2891.0993805130925,921.6205726658809,0.03732285091178953
tr_price7f,RB_20,5,20,242,120,122,0.49586776859504134,1.1686252488495938,1659.405582405413,-365.073317269329,0.029057197116437727
tr_price7f,LIQ_TOP100_EXETF,5,5,839,504,335,0.600715137067938,1.1523355472762749,712.3011558861899,549.107708386483,0.025460917919857898
tr_price7f,LIQ_TOP90_EXETF,5,5,842,502,340,0.5961995249406176,1.1494246255923755,714.4518809950551,425.53739305720865,0.02409277650994898
tr_price7f,LIQ_TOP70_EXETF,5,5,821,502,319,0.6114494518879415,1.187796233453437,820.3738486083149,456.20683291282694,0.02865893779762048
26f,TOPK_3,3,5,488,294,194,0.6024590163934426,1.388747356187686,3604.8434137621825,592.523998527538,0.02885894332009612
26f,TOPK_5,5,5,740,453,287,0.6121621621621621,1.279413830344459,1475.2804960465621,498.6473223687947,0.03615716378574743
26f,TOPK_10,10,5,1307,811,496,0.6205049732211171,1.135393190528102,299.83773655485714,203.17962925349048,0.048361494212617526
26f,RB_5,5,5,740,453,287,0.6121621621621621,1.279413830344459,1475.2804960465621,498.6473223687947,0.03615716378574743
26f,RB_10,5,10,417,231,186,0.5539568345323741,1.2541187896362782,1801.4438950267395,723.8497189113414,0.03945681256942111
26f,RB_20,5,20,239,129,110,0.5397489539748954,1.21409826555774,2192.3712853943443,1066.553674581175,0.04867420598767649
26f,LIQ_TOP100_EXETF,5,5,740,453,287,0.6121621621621621,1.279413830344459,1475.2804960465621,498.6473223687947,0.03615716378574743
26f,LIQ_TOP90_EXETF,5,5,761,469,292,0.6162943495400789,1.2771368098124178,1329.7518813920865,450.6093617991446,0.03444048564012524
26f,LIQ_TOP70_EXETF,5,5,702,448,254,0.6381766381766382,1.3074924158914003,1398.8490698351607,498.9982917573325,0.04553295095439809
