scenario,config,top_k,rebalance_days,cum,sharpe,mdd,alpha_total,beat_years,ndcg,prec,hit,top_ret,spread,ic,ic_yearly_mean,ir_yearly_mean
TOPK_3,EqWt,3,5,0.2772108745818307,0.1334918383726975,-0.5991524728837279,0.008355920901606861,2,0.16236050502530086,0.10652989680239947,0.2820672055309847,0.006453241681591701,-0.001611767201737156,-0.003903265445128578,-0.003903265445128578,-0.022064735676109584
TOPK_3,Q75,3,5,0.5909999095042597,0.2617539735059471,-0.5152575550407827,0.3221449558240359,3,0.16236050502530086,0.10652989680239947,0.2820672055309847,0.006453241681591701,-0.001611767201737156,-0.003903265445128578,-0.003903265445128578,-0.022064735676109584
TOPK_5,EqWt,5,5,1.589952136514348,0.687945893492068,-0.4827566366561171,1.3210971828341243,3,0.2037526018981748,0.1288878125158863,0.4818573127954858,0.007329437245610309,0.0018767373961751127,-0.0018592356419387577,-0.0018592356419387577,-0.01150065448399066
TOPK_5,Q75,5,5,2.4071440821091104,0.8923198051564212,-0.3445274724592936,2.1382891284288865,3,0.2037526018981748,0.1288878125158863,0.4818573127954858,0.007329437245610309,0.0018767373961751127,-0.0018592356419387577,-0.0018592356419387577,-0.01150065448399066
TOPK_10,EqWt,10,5,1.2632128244627294,0.6899785231972626,-0.3351459262144981,0.9943578707825056,4,0.2902775088208801,0.18402998525748565,0.8750241878908037,0.006509691784585829,0.003672332958768034,0.00037475226031625993,0.00037475226031625993,-8.474861373022613e-05
TOPK_10,Q75,10,5,1.673314435161156,0.830258956631198,-0.33056755169789,1.4044594814809321,4,0.2902775088208801,0.18402998525748565,0.8750241878908037,0.006509691784585829,0.003672332958768034,0.00037475226031625993,0.00037475226031625993,-8.474861373022613e-05
RB_5,EqWt,5,5,1.589952136514348,0.687945893492068,-0.4827566366561171,1.3210971828341243,3,0.2037526018981748,0.1288878125158863,0.4818573127954858,0.007329437245610309,0.0018767373961751127,-0.0018592356419387577,-0.0018592356419387577,-0.01150065448399066
RB_5,Q75,5,5,2.4071440821091104,0.8923198051564212,-0.3445274724592936,2.1382891284288865,3,0.2037526018981748,0.1288878125158863,0.4818573127954858,0.007329437245610309,0.0018767373961751127,-0.0018592356419387577,-0.0018592356419387577,-0.01150065448399066
RB_10,EqWt,5,10,0.7857605490397486,0.41363392012133365,-0.48792822926077106,0.5169055953595247,3,0.2037526018981748,0.1288878125158863,0.4818573127954858,0.007329437245610309,0.0018767373961751127,-0.0018592356419387577,-0.0018592356419387577,-0.01150065448399066
RB_10,Q75,5,10,1.1942794382799837,0.5540849540519268,-0.42953743123831933,0.9254244845997599,3,0.2037526018981748,0.1288878125158863,0.4818573127954858,0.007329437245610309,0.0018767373961751127,-0.0018592356419387577,-0.0018592356419387577,-0.01150065448399066
RB_20,EqWt,5,20,0.2821405271896713,0.16276258764211843,-0.557506878541989,0.01328557350944748,2,0.2037526018981748,0.1288878125158863,0.4818573127954858,0.007329437245610309,0.0018767373961751127,-0.0018592356419387577,-0.0018592356419387577,-0.01150065448399066
RB_20,Q75,5,20,0.5223129395517898,0.2734706038491076,-0.532675392065092,0.253457985871566,2,0.2037526018981748,0.1288878125158863,0.4818573127954858,0.007329437245610309,0.0018767373961751127,-0.0018592356419387577,-0.0018592356419387577,-0.01150065448399066
UNIV_FULL,EqWt,5,5,1.589952136514348,0.687945893492068,-0.4827566366561171,1.3210971828341243,3,0.2037526018981748,0.1288878125158863,0.4818573127954858,0.007329437245610309,0.0018767373961751127,-0.0018592356419387577,-0.0018592356419387577,-0.01150065448399066
UNIV_FULL,Q75,5,5,2.4071440821091104,0.8923198051564212,-0.3445274724592936,2.1382891284288865,3,0.2037526018981748,0.1288878125158863,0.4818573127954858,0.007329437245610309,0.0018767373961751127,-0.0018592356419387577,-0.0018592356419387577,-0.01150065448399066
UNIV_TOP90,EqWt,5,5,0.8726428696907684,0.4265093562827035,-0.45028148750411456,0.6037879160105446,4,0.2162672141145087,0.1394342534695745,0.5103646993035433,0.0060549438469812145,0.0010678598090147384,-0.0038062102796524236,-0.0038062102796524236,-0.017790684499980135
UNIV_TOP90,Q75,5,5,1.4531574911592777,0.6074845066519009,-0.4318768850193109,1.184302537479054,4,0.2162672141145087,0.1394342534695745,0.5103646993035433,0.0060549438469812145,0.0010678598090147384,-0.0038062102796524236,-0.0038062102796524236,-0.017790684499980135
UNIV_TOP70,EqWt,5,5,1.0248468229481316,0.5003414294788808,-0.4551462619640553,0.7559918692679077,2,0.24309605149400446,0.1557657383966245,0.5561858166844593,0.00527658404432067,0.0019122223019952568,-0.0025727608869746494,-0.0025727608869746494,-0.008710799387073921
UNIV_TOP70,Q75,5,5,1.3961882732145918,0.6082521019240809,-0.4536724006354754,1.127333319534368,3,0.24309605149400446,0.1557657383966245,0.5561858166844593,0.00527658404432067,0.0019122223019952568,-0.0025727608869746494,-0.0025727608869746494,-0.008710799387073921
