Date,Close,v7_Bull,v7_Neut,v7_Bear,v7_label
2016-08-18,866.3,0.0,0.0,1.0,Bear
2016-08-19,861.69,0.0,0.0,1.0,Bear
2016-08-22,858.51,0.0,0.0,1.0,Bear
2016-08-23,861.17,0.0,0.0,1.0,Bear
2016-08-24,857.7,0.0,0.0,1.0,Bear
2016-08-25,857.87,0.0,0.0,1.0,Bear
2016-08-26,860.83,0.0,0.0,1.0,Bear
2016-08-29,853.99,0.0,0.0,1.0,Bear
2016-08-30,859.94,0.0,0.0,1.0,Bear
2016-08-31,866.23,0.0,0.0,1.0,Bear
2016-09-01,867.69,0.0,0.0,1.0,Bear
2016-09-05,863.27,0.0,0.0,1.0,Bear
2016-09-06,868.89,0.0,0.0,1.0,Bear
2016-09-07,872.8,0.0,0.0,1.0,Bear
2016-09-08,878.37,0.0,0.0,1.0,Bear
2016-09-09,879.44,0.0,0.0,1.0,Bear
2016-09-12,865.19,0.0,0.0,1.0,Bear
2016-09-13,862.54,0.0,0.0,1.0,Bear
2016-09-14,860.08,0.0,0.0,1.0,Bear
2016-09-15,862.71,0.0,0.0,1.0,Bear
2016-09-16,859.84,0.0,0.0,1.0,Bear
2016-09-19,865.25,0.0,0.0,1.0,Bear
2016-09-20,869.59,0.0,0.0,1.0,Bear
2016-09-21,869.29,0.0,0.0,1.0,Bear
2016-09-22,876.89,0.0,0.0,1.0,Bear
2016-09-23,874.85,0.0,0.0,1.0,Bear
2016-09-26,879.16,0.0,0.0,1.0,Bear
2016-09-27,885.17,0.0,0.0,1.0,Bear
2016-09-28,889.44,0.0,0.0,1.0,Bear
2016-09-29,890.86,0.0,0.0,1.0,Bear
2016-09-30,888.04,0.0,0.0,1.0,Bear
2016-10-03,890.53,0.0,0.0,1.0,Bear
2016-10-04,881.83,0.0,0.0,1.0,Bear
2016-10-05,884.85,0.0,0.0,1.0,Bear
2016-10-06,887.26,0.0,0.0,1.0,Bear
2016-10-07,884.77,0.0,0.0,1.0,Bear
2016-10-10,876.19,0.0,0.0,1.0,Bear
2016-10-11,877.32,0.0,0.0,1.0,Bear
2016-10-12,881.44,0.0,0.05,0.95,Bear
2016-10-13,883.36,0.0,0.05,0.95,Bear
2016-10-14,883.23,0.0,0.05,0.95,Bear
2016-10-17,881.76,0.0,0.05,0.95,Bear
2016-10-18,879.73,0.0,0.05,0.95,Bear
2016-10-19,879.75,0.0,0.05,0.95,Bear
2016-10-20,872.89,0.0,0.0,1.0,Bear
2016-10-21,864.73,0.0,0.0,1.0,Bear
2016-10-24,854.96,0.0,0.0,1.0,Bear
2016-10-25,850.99,0.0,0.0,1.0,Bear
2016-10-26,852.75,0.0,0.0,1.0,Bear
2016-10-27,853.88,0.0,0.0,1.0,Bear
2016-10-28,858.76,0.0,0.0,1.0,Bear
2016-10-31,855.72,0.0,0.0,1.0,Bear
2016-11-01,855.79,0.0,0.0,1.0,Bear
2016-11-02,846.41,0.0,0.0,1.0,Bear
2016-11-03,841.06,0.0,0.0,1.0,Bear
2016-11-04,843.49,0.0,0.0,1.0,Bear
2016-11-07,849.55,0.0,0.0,1.0,Bear
2016-11-08,847.87,0.0,0.0,1.0,Bear
2016-11-09,841.14,0.0,0.0,1.0,Bear
2016-11-10,851.17,0.0,0.0,1.0,Bear
