Date,Close,v7_Bull,v7_Neut,v7_Bear,v7_label
2016-08-17,660.51,0.0,1.0,0.0,Neutral
2016-08-18,660.65,0.0,1.0,0.0,Neutral
2016-08-19,662.28,0.0,1.0,0.0,Neutral
2016-08-22,657.68,0.0,1.0,0.0,Neutral
2016-08-23,659.16,0.0,1.0,0.0,Neutral
2016-08-24,660.77,0.0,1.0,0.0,Neutral
2016-08-25,658.5,0.0,1.0,0.0,Neutral
2016-08-26,667.75,0.0,1.0,0.0,Neutral
2016-08-29,669.44,0.0,1.0,0.0,Neutral
2016-08-30,672.67,0.0,1.0,0.0,Neutral
2016-08-31,674.63,0.0,1.0,0.0,Neutral
2016-09-01,669.19,0.0,1.0,0.0,Neutral
2016-09-05,664.55,0.0,1.0,0.0,Neutral
2016-09-06,663.9,0.0,1.0,0.0,Neutral
2016-09-07,661.28,0.0,1.0,0.0,Neutral
2016-09-08,666.07,0.0,1.0,0.0,Neutral
2016-09-09,666.88,0.0,1.0,0.0,Neutral
2016-09-12,659.76,0.0,1.0,0.0,Neutral
2016-09-13,659.72,0.0,1.0,0.0,Neutral
2016-09-14,656.64,0.0,1.0,0.0,Neutral
2016-09-15,656.18,0.0,1.0,0.0,Neutral
2016-09-16,651.31,0.0,1.0,0.0,Neutral
2016-09-19,657.89,0.0,1.0,0.0,Neutral
2016-09-20,663.37,0.05,0.95,0.0,Neutral
2016-09-21,668.48,0.15,0.85,0.0,Neutral
2016-09-22,671.38,0.25,0.75,0.0,Neutral
2016-09-23,674.09,0.35,0.65,0.0,Neutral
2016-09-26,677.04,0.5,0.5,0.0,Bull
2016-09-27,684.89,0.6,0.4,0.0,Bull
2016-09-28,686.72,0.65,0.35,0.0,Bull
2016-09-29,688.55,0.7,0.3,0.0,Bull
2016-09-30,685.73,0.65,0.35,0.0,Bull
2016-10-03,683.05,0.6,0.4,0.0,Bull
2016-10-04,684.2,0.5,0.5,0.0,Bull
2016-10-05,687.04,0.4,0.6,0.0,Neutral
2016-10-06,687.32,0.3,0.7,0.0,Neutral
2016-10-07,683.95,0.2,0.8,0.0,Neutral
2016-10-10,674.19,0.1,0.9,0.0,Neutral
2016-10-11,682.36,0.05,0.95,0.0,Neutral
2016-10-12,682.45,0.0,1.0,0.0,Neutral
2016-10-13,685.23,0.0,1.0,0.0,Neutral
2016-10-17,680.95,0.0,1.0,0.0,Neutral
2016-10-18,682.02,0.0,1.0,0.0,Neutral
2016-10-19,688.89,0.0,1.0,0.0,Neutral
2016-10-20,686.39,0.0,1.0,0.0,Neutral
2016-10-21,684.83,0.0,1.0,0.0,Neutral
2016-10-24,678.02,0.0,1.0,0.0,Neutral
2016-10-25,676.18,0.0,1.0,0.0,Neutral
2016-10-26,673.61,0.0,1.0,0.0,Neutral
2016-10-27,676.9,0.0,1.0,0.0,Neutral
2016-10-28,682.25,0.0,1.0,0.0,Neutral
2016-10-31,675.8,0.0,1.0,0.0,Neutral
2016-11-01,676.6,0.0,1.0,0.0,Neutral
2016-11-02,671.4,0.0,1.0,0.0,Neutral
2016-11-03,667.63,0.0,1.0,0.0,Neutral
2016-11-04,666.73,0.0,1.0,0.0,Neutral
2016-11-07,674.14,0.0,1.0,0.0,Neutral
2016-11-08,676.46,0.0,1.0,0.0,Neutral
2016-11-09,670.26,0.0,1.0,0.0,Neutral
2016-11-10,678.17,0.0,1.0,0.0,Neutral
2016-11-11,679.2,0.0,1.0,0.0,Neutral
2016-11-14,673.05,0.0,1.0,0.0,Neutral
2016-11-15,674.26,0.0,1.0,0.0,Neutral
2016-11-16,674.6,0.0,1.0,0.0,Neutral
2016-11-17,674.57,0.0,1.0,0.0,Neutral
2016-11-18,673.25,0.0,1.0,0.0,Neutral
2016-11-21,674.29,0.0,1.0,0.0,Neutral
2016-11-22,681.91,0.0,1.0,0.0,Neutral
2016-11-23,683.16,0.0,1.0,0.0,Neutral
2016-11-24,678.18,0.0,1.0,0.0,Neutral
